customer_id,synthetic_archetype,age,region,occupation,monthly_income,tenure_months,checking_balance,savings_balance,investment_balance,credit_card_limit,credit_utilization,loan_balance,delinquency_events_12m,has_credit_card,has_savings,has_investments,has_personal_loan,has_insurance,has_mortgage
CLI000017,Crédito Intensivo,39,Centro-Oeste,Estudante,3166.75,95,1074.81,319.65,3417.92,8814.04,0.8696,17546.66,0,1,0,1,1,0,0
CLI000018,Alta Renda Investidor,53,Sudeste,Assalariado,22388.86,88,16109.5,9624.01,119022.13,37802.61,0.3049,4512.76,0,1,1,1,0,1,0
CLI000019,Jovem em Ascensão,28,Sudeste,Assalariado,6864.83,32,3345.29,4950.67,953.48,9542.97,0.516,0.0,0,1,1,0,0,0,0
CLI000020,Tradicional Essencial,40,Nordeste,Assalariado,3945.98,85,0.0,6413.36,0.0,4017.0,0.2211,6875.28,0,1,0,0,0,0,0
CLI000021,Tradicional Essencial,45,Sudeste,Assalariado,3013.08,80,8722.55,1475.87,5973.47,6040.11,0.3601,26775.44,0,1,1,0,0,1,0
CLI000022,Digital Multirrelacionado,31,Nordeste,Autônomo,11143.78,39,11062.81,8184.28,774.8,14341.12,0.2517,37303.12,0,1,1,0,0,1,1
CLI000023,Jovem em Ascensão,26,Sul,Autônomo,5487.7,11,5975.01,10148.85,2685.35,8240.49,0.243,1118.83,0,1,0,0,0,0,0
CLI000024,Jovem em Ascensão,28,Sudeste,Autônomo,4453.81,10,3357.88,12864.03,5838.29,5770.83,0.4959,0.0,0,1,0,0,0,0,0
CLI000025,Tradicional Essencial,59,Sul,Servidor público,3029.71,166,0.0,11395.22,2794.07,5885.93,0.2753,10850.87,0,1,1,0,0,0,0
CLI000026,Digital Multirrelacionado,26,Nordeste,Assalariado,7813.05,53,8905.45,14254.62,28258.52,13035.45,0.3277,14122.28,0,1,1,1,1,0,0
CLI000027,Crédito Intensivo,49,Centro-Oeste,Assalariado,3490.01,41,1783.43,1733.54,315.47,8917.0,0.9323,28831.88,0,1,0,0,0,0,0
CLI000028,Alta Renda Investidor,49,Centro-Oeste,Assalariado,13316.61,98,22091.59,53990.46,0.0,50138.66,0.2929,56907.56,0,1,1,1,0,1,0
CLI000029,Digital Multirrelacionado,22,Nordeste,Servidor público,10151.86,124,14704.2,24061.6,43958.62,13619.53,0.5433,15461.18,0,1,1,1,0,1,0
CLI000030,Tradicional Essencial,73,Nordeste,Autônomo,5367.47,164,2865.36,15786.42,0.0,3933.91,0.01,0.0,1,1,1,0,0,0,0
CLI000031,Tradicional Essencial,58,Sudeste,Aposentado,2829.02,94,5064.84,5963.16,3573.15,8644.72,0.2448,18117.85,0,0,1,0,0,0,0
CLI000032,Jovem em Ascensão,25,Centro-Oeste,Assalariado,4641.53,30,5122.77,4071.96,927.11,6235.69,0.2745,10368.09,0,1,1,1,0,0,0
CLI000033,Digital Multirrelacionado,30,Sudeste,Assalariado,9746.91,82,6617.8,0.0,39158.28,13605.43,0.4905,28043.94,0,0,1,1,1,0,0
CLI000034,Digital Multirrelacionado,28,Sudeste,Servidor público,10107.32,95,5993.98,15249.4,21834.48,14560.72,0.6213,36227.68,0,1,1,0,0,1,0
CLI000035,Crédito Intensivo,43,Nordeste,Assalariado,3977.01,116,4241.25,3059.37,3371.98,13262.82,0.9635,58017.51,0,1,1,0,1,0,0
CLI000036,Digital Multirrelacionado,49,Sudeste,Servidor público,11051.01,72,4173.13,12168.77,0.0,12865.18,0.4801,26694.92,1,1,1,1,1,1,0
CLI000037,Alta Renda Investidor,47,Sudeste,Servidor público,24085.68,129,15962.98,44397.07,240396.48,42259.75,0.2485,74317.79,0,1,1,1,0,1,0
CLI000038,Crédito Intensivo,37,Sudeste,Autônomo,4029.31,139,4280.72,4413.11,1687.88,11254.99,0.7271,10140.31,1,1,1,0,1,1,1
CLI000039,Digital Multirrelacionado,32,Sul,Aposentado,5220.28,6,6212.49,11769.02,28275.87,11574.62,0.2515,16882.94,0,1,1,1,1,1,1
CLI000040,Tradicional Essencial,73,Sudeste,Autônomo,3478.5,117,4711.45,24714.84,8448.07,6268.62,0.3984,0.0,0,1,1,0,0,0,0
CLI000041,Crédito Intensivo,50,Sudeste,Assalariado,7479.47,103,4072.44,0.0,718.87,13794.28,0.7957,31145.52,2,1,0,0,1,1,1
CLI000042,Jovem em Ascensão,27,Sudeste,Autônomo,2787.29,1,3396.14,0.0,5174.51,10898.81,0.7277,0.0,0,0,1,0,0,1,0
CLI000043,Tradicional Essencial,48,Sul,Autônomo,2348.92,155,3232.08,8438.97,2213.76,5649.3,0.351,9642.64,0,0,1,0,0,0,0
CLI000044,Digital Multirrelacionado,37,Sudeste,Servidor público,10500.08,123,4287.27,6993.27,14326.52,14430.21,0.334,14873.81,0,1,0,0,0,0,0
CLI000045,Jovem em Ascensão,27,Sudeste,Assalariado,4626.71,43,2943.91,12983.14,881.97,9419.63,0.3557,8302.63,0,1,0,1,0,1,0
CLI000046,Jovem em Ascensão,29,Sul,Assalariado,4976.11,17,2089.18,5319.43,13083.65,6875.17,0.2623,0.0,0,1,0,0,0,0,0
CLI000047,Crédito Intensivo,29,Centro-Oeste,Autônomo,2600.31,67,1515.2,3694.76,573.86,10630.33,0.8926,43780.36,2,1,0,1,1,0,0
CLI000048,Digital Multirrelacionado,33,Sudeste,Aposentado,2044.25,68,1221.18,6503.42,14290.56,16664.57,0.2474,12232.39,1,1,1,0,1,0,0
CLI000049,Tradicional Essencial,66,Sudeste,Autônomo,4733.72,123,3195.15,13796.21,850.69,4426.48,0.0682,1711.07,0,1,1,0,0,1,0
CLI000050,Alta Renda Investidor,47,Sudeste,Empresário,16930.8,173,24320.73,74773.46,150453.48,34866.26,0.1214,55990.03,0,1,1,1,0,1,0
CLI000051,Digital Multirrelacionado,41,Sudeste,Assalariado,9246.32,62,398.94,587.22,6942.32,4374.48,0.5771,22883.25,0,1,1,0,1,0,0
CLI000052,Alta Renda Investidor,27,Sul,Servidor público,10968.71,196,18410.02,69280.13,148048.87,44660.07,0.2674,49043.63,0,1,1,1,0,1,0
CLI000053,Tradicional Essencial,52,Norte,Assalariado,3897.81,168,4182.41,9014.69,4972.82,5948.27,0.01,4440.12,1,1,1,0,0,0,0
CLI000054,Tradicional Essencial,74,Sul,Aposentado,2127.9,177,2822.16,15253.44,6672.19,5180.6,0.2173,20466.45,0,1,1,1,0,1,1
CLI000055,Tradicional Essencial,50,Sul,Empresário,3557.61,145,290.7,8207.37,0.0,7245.27,0.333,4952.24,1,0,1,0,0,0,0
CLI000056,Tradicional Essencial,46,Sudeste,Autônomo,4165.42,55,4173.39,6397.23,0.0,6756.79,0.01,0.0,1,1,1,1,1,1,0
CLI000057,Crédito Intensivo,53,Nordeste,Autônomo,6864.45,136,0.0,0.0,,8947.83,0.68,75615.37,0,1,0,1,1,0,0
CLI000058,Crédito Intensivo,37,Sudeste,Assalariado,3266.76,7,2779.65,2096.96,0.0,11442.29,0.6615,31737.98,0,1,1,0,1,1,0
CLI000059,Alta Renda Investidor,42,Sul,Empresário,20606.87,162,6860.47,59782.37,281251.44,43423.93,0.329,74999.35,0,1,1,1,0,1,0
CLI000060,Alta Renda Investidor,39,Sul,Servidor público,32604.92,165,4074.92,10054.53,273972.65,41556.42,0.2241,53105.18,0,1,1,1,0,1,0
CLI000061,Tradicional Essencial,55,Sudeste,Autônomo,2476.88,133,1867.28,16166.33,0.0,3414.33,0.2207,25751.26,0,0,1,0,1,0,0
CLI000062,Crédito Intensivo,24,Sudeste,Servidor público,7262.16,1,1311.12,1356.97,4480.84,15173.89,0.915,12287.9,0,1,1,0,1,0,0
CLI000063,Crédito Intensivo,46,Centro-Oeste,Assalariado,2426.02,18,4916.89,4910.54,761.56,9437.66,0.8495,17148.33,0,1,1,0,1,0,1
CLI000064,Tradicional Essencial,44,Sul,Assalariado,3808.31,162,0.0,11053.53,4649.51,8424.28,0.1717,0.0,0,0,1,0,0,0,0
CLI000065,Tradicional Essencial,47,Centro-Oeste,Aposentado,4857.72,156,4089.17,1113.85,3453.52,3078.94,0.448,38006.14,0,1,1,0,0,1,0
CLI000066,Crédito Intensivo,34,Nordeste,Aposentado,1200.0,73,895.78,965.45,2629.7,11167.05,0.99,51654.67,0,1,1,0,1,0,0
CLI000067,Crédito Intensivo,30,Sudeste,Autônomo,5940.25,96,4721.38,0.0,5025.71,6931.52,0.7479,54350.63,1,0,1,0,1,0,0
CLI000068,Digital Multirrelacionado,31,Nordeste,Assalariado,8824.32,75,7917.68,7294.65,56729.19,10690.49,0.3633,27226.6,0,1,1,0,1,0,0
CLI000069,Alta Renda Investidor,58,Sul,Empresário,23356.73,151,27538.24,27590.62,174830.05,22332.76,0.1878,21222.94,0,1,1,1,0,0,0
CLI000070,Crédito Intensivo,33,Sudeste,Assalariado,4666.39,29,2193.91,5090.43,0.0,8523.32,0.6596,36185.9,0,1,1,0,1,1,0
CLI000071,Digital Multirrelacionado,31,Nordeste,Assalariado,8490.71,66,5753.22,15357.42,35964.25,16148.52,0.3376,31933.28,0,1,1,0,0,1,0
CLI000072,Crédito Intensivo,27,Sudeste,Autônomo,1200.0,52,1847.51,3887.9,3981.99,10832.97,0.7205,31923.15,2,1,0,0,1,0,0
CLI000073,Jovem em Ascensão,25,Sudeste,Assalariado,4444.96,10,2753.86,6989.37,5526.94,6349.66,0.2868,9881.51,0,1,1,0,0,0,0
CLI000074,Digital Multirrelacionado,36,Sudeste,Assalariado,8855.29,75,2866.36,8006.75,41389.72,18153.79,0.2319,14771.88,0,1,1,0,0,1,0
CLI000075,Alta Renda Investidor,42,Centro-Oeste,Assalariado,33967.9,90,9991.61,56186.16,154581.44,29582.8,0.3276,19676.93,0,1,1,1,0,1,0
CLI000076,Digital Multirrelacionado,25,Sul,Servidor público,8622.9,69,2550.47,8525.48,53462.45,11899.9,0.34,1919.53,0,1,1,1,0,1,0
CLI000077,Digital Multirrelacionado,18,Sudeste,Autônomo,7581.57,66,4285.94,7725.06,20396.77,14937.88,0.2512,13256.96,1,1,1,0,0,1,0
CLI000078,Tradicional Essencial,49,Nordeste,Assalariado,2405.03,192,3338.02,10794.88,0.0,6950.1,0.01,16545.09,1,1,1,0,0,1,0
CLI000079,Crédito Intensivo,38,Sudeste,Empresário,4845.29,68,3192.33,0.0,0.0,12561.55,0.8146,73158.02,2,0,1,0,1,0,1
CLI000080,Tradicional Essencial,37,Centro-Oeste,Assalariado,3823.41,140,1098.99,0.0,2225.51,2807.75,0.0675,13802.03,0,0,1,0,0,0,0
CLI000081,Tradicional Essencial,72,Sul,Aposentado,4107.63,171,3790.88,17367.34,0.0,6864.27,0.2529,0.0,0,1,1,0,0,0,0
CLI000082,Crédito Intensivo,40,Nordeste,Assalariado,4093.41,62,3074.44,2864.03,272.14,8443.15,0.8799,0.0,1,1,1,0,1,0,0
CLI000083,Jovem em Ascensão,21,Sul,Autônomo,3828.6,17,4251.67,0.0,5412.56,4602.26,0.3945,8937.01,0,0,0,0,0,0,0
CLI000084,Digital Multirrelacionado,36,Sudeste,Autônomo,8111.62,73,4745.69,12166.88,2517.24,12034.53,0.3352,0.0,0,1,1,1,1,0,0
CLI000085,Alta Renda Investidor,42,Nordeste,Assalariado,19044.93,163,16294.68,35488.84,238991.37,39897.1,0.2797,15695.75,0,1,1,1,0,1,1
CLI000086,Alta Renda Investidor,64,Centro-Oeste,Empresário,22381.68,124,15225.7,108969.4,58399.61,40626.62,0.1537,39935.86,0,1,1,1,0,1,0
CLI000087,Tradicional Essencial,48,Nordeste,Servidor público,2958.97,137,0.0,20887.02,0.0,3317.09,0.332,1550.0,1,1,1,0,0,1,0
CLI000088,Crédito Intensivo,30,Centro-Oeste,Assalariado,4785.99,96,30.68,7445.28,0.0,10468.5,0.6824,13440.5,2,1,0,0,1,0,0
CLI000089,Digital Multirrelacionado,28,Sudeste,Aposentado,10199.77,26,11166.03,15244.5,5490.83,11460.33,0.2645,2826.22,0,1,0,1,0,0,0
CLI000090,Crédito Intensivo,38,Sudeste,Servidor público,8429.87,79,2103.32,6750.67,0.0,17117.84,0.7895,11064.72,0,1,0,0,1,0,1
CLI000091,Digital Multirrelacionado,23,Sudeste,Assalariado,10103.41,83,5194.02,6106.5,20232.6,14585.23,0.3213,25480.95,0,1,1,1,0,1,0
CLI000092,Tradicional Essencial,48,Sudeste,Aposentado,4381.25,258,6799.68,1544.81,0.0,3938.78,0.0868,28083.12,0,0,1,1,0,1,1
CLI000093,Crédito Intensivo,50,Sudeste,Assalariado,4643.95,1,2915.04,2652.53,1849.81,9049.83,0.7467,33869.23,2,1,1,0,1,1,0
CLI000094,Crédito Intensivo,50,Sul,Aposentado,4973.64,65,4475.41,2107.31,3208.96,18968.33,0.8544,25165.34,1,0,0,0,1,0,0
CLI000095,Digital Multirrelacionado,30,Sudeste,Assalariado,7316.4,48,4620.23,15708.56,8720.1,13365.67,0.3219,0.0,0,1,1,0,0,1,0
CLI000096,Tradicional Essencial,56,Sudeste,Assalariado,5552.6,36,3121.11,5933.66,7301.32,7080.08,0.3663,24955.51,0,1,1,0,0,1,1
CLI000097,Digital Multirrelacionado,44,Sul,Assalariado,6198.33,76,3681.93,5350.35,29539.73,13868.2,0.323,15675.45,0,1,1,1,0,0,0
CLI000098,Alta Renda Investidor,43,Sudeste,Assalariado,18403.89,181,26858.72,81249.45,202182.22,20056.48,0.3064,59416.6,1,1,1,1,0,1,0
CLI000099,Alta Renda Investidor,64,Nordeste,Empresário,24409.2,1,19709.94,72062.24,416355.09,38587.65,0.4085,41068.08,0,1,1,1,0,1,0
CLI000100,Jovem em Ascensão,29,Sudeste,Estudante,4595.21,31,4082.85,373.53,0.0,9186.27,0.24,10879.89,0,1,0,1,0,1,0
CLI000101,Jovem em Ascensão,33,Sudeste,Assalariado,5706.81,20,1607.23,3173.87,,4863.59,0.6125,11725.81,0,1,0,0,0,1,0
CLI000102,Tradicional Essencial,46,Sudeste,Aposentado,1690.68,141,3546.09,9678.38,8150.43,3938.6,0.014,11552.51,0,1,1,0,0,0,0
CLI000103,Digital Multirrelacionado,32,Nordeste,Assalariado,11329.81,60,12731.61,6753.47,46328.28,16669.13,0.3755,25679.08,0,1,1,1,1,0,0
CLI000104,Jovem em Ascensão,28,Sudeste,Autônomo,4289.69,22,3473.51,6049.68,12392.41,4745.48,0.1322,12982.61,0,1,0,1,0,0,0
CLI000105,Tradicional Essencial,40,Sudeste,Assalariado,3693.93,64,11712.32,5784.97,774.92,7731.88,0.5421,20390.81,0,1,1,0,0,1,0
CLI000106,Tradicional Essencial,60,Sul,Aposentado,1454.22,79,8558.23,3477.01,10818.94,10048.83,0.3469,19352.14,0,0,1,1,1,1,1
CLI000107,Crédito Intensivo,39,Sudeste,Empresário,6863.47,54,2734.04,1857.25,2204.77,6369.87,0.8785,5893.92,1,1,1,0,1,0,0
CLI000108,Digital Multirrelacionado,33,Sudeste,Assalariado,9226.29,82,0.0,0.0,19630.94,13110.47,0.4612,17320.27,0,1,1,1,0,1,0
CLI000109,Alta Renda Investidor,35,Sudeste,Assalariado,20940.9,49,11948.46,4465.54,42050.36,33058.97,0.296,49218.18,0,1,1,0,0,0,0
CLI000110,Jovem em Ascensão,26,Centro-Oeste,Estudante,4189.91,4,1863.21,4133.95,9646.84,5675.83,0.4294,3057.46,0,1,1,0,1,1,0
CLI000111,Crédito Intensivo,34,Nordeste,Assalariado,4488.9,115,1599.34,0.0,1558.25,11755.33,0.7753,29591.15,2,1,1,0,1,0,0
CLI000112,Digital Multirrelacionado,23,Sudeste,Estudante,9649.67,6,11052.91,14288.18,0.0,10455.07,0.4124,27876.55,0,1,1,1,0,0,1
CLI000113,Digital Multirrelacionado,40,Centro-Oeste,Assalariado,4476.64,75,260.67,,46828.08,9294.3,0.2751,17211.1,0,1,1,1,0,0,1
CLI000114,Tradicional Essencial,51,Sul,Aposentado,4000.05,213,4810.93,8772.38,0.0,5471.59,0.455,0.0,0,0,1,0,0,1,0
CLI000115,Digital Multirrelacionado,32,Sudeste,Assalariado,6995.28,114,13764.62,3479.11,31248.64,17919.29,0.4862,11329.63,0,1,1,1,0,1,0
CLI000116,Jovem em Ascensão,27,Centro-Oeste,Assalariado,4792.16,3,3681.02,1916.77,0.0,4244.39,0.5053,5727.85,1,1,0,0,0,0,0
CLI000117,Tradicional Essencial,69,Sudeste,Aposentado,3313.32,48,3820.21,7434.71,5941.49,7964.84,0.2569,5352.21,0,1,1,0,0,1,0
CLI000118,Tradicional Essencial,55,Sudeste,Assalariado,3458.02,112,3741.93,1705.43,0.0,8289.92,0.1246,8003.65,0,1,1,0,0,1,0
CLI000119,Crédito Intensivo,50,Sudeste,Assalariado,6371.76,126,1798.91,2613.12,4411.86,9841.74,0.8294,61780.72,0,1,0,0,1,0,0
CLI000120,Tradicional Essencial,55,Sudeste,Assalariado,4977.9,194,1521.18,4198.64,3853.77,7589.0,0.0951,5822.58,1,1,1,0,0,0,1
CLI000121,Tradicional Essencial,57,Sudeste,Autônomo,3190.35,182,9645.6,3891.06,0.0,3288.78,0.1645,0.0,0,0,0,1,0,1,0
CLI000122,Tradicional Essencial,70,Centro-Oeste,Aposentado,5901.56,139,493.79,9418.98,7516.48,5643.93,0.1455,0.0,0,1,0,0,0,0,0
CLI000123,Alta Renda Investidor,50,Sul,Assalariado,22889.81,241,24741.27,45405.48,257679.41,16239.96,0.1278,0.0,0,1,0,1,0,1,0
CLI000124,Crédito Intensivo,56,Sudeste,Autônomo,5728.51,68,0.0,89.34,0.0,10025.72,0.8328,30929.22,1,1,0,0,1,0,1
CLI000125,Alta Renda Investidor,56,Sudeste,Servidor público,19035.43,63,14568.36,57113.51,461923.96,22298.0,0.225,14287.24,0,1,0,1,0,1,0
CLI000126,Crédito Intensivo,33,Sudeste,Autônomo,6418.51,98,0.0,0.0,121.13,12958.61,0.9456,72371.93,0,1,0,0,1,0,0
CLI000127,Digital Multirrelacionado,34,Nordeste,Assalariado,10427.64,85,6941.0,7463.88,22939.72,11317.05,0.3525,58890.77,0,1,1,0,0,1,0
CLI000128,Digital Multirrelacionado,38,Centro-Oeste,Assalariado,6977.39,87,2764.32,5256.32,20040.59,6163.89,0.4959,1593.38,0,1,1,1,0,1,1
CLI000129,Alta Renda Investidor,45,Nordeste,Empresário,21216.08,148,4911.36,29505.37,209252.23,41630.66,0.2732,495.35,0,1,1,1,0,0,0
CLI000130,Tradicional Essencial,66,Centro-Oeste,Assalariado,2338.99,201,2153.7,9089.74,0.0,3082.31,0.4255,1905.99,0,1,1,0,0,1,0
CLI000131,Digital Multirrelacionado,47,Sul,Aposentado,6755.18,70,4371.21,11162.06,0.0,16070.75,0.4026,48578.57,0,1,1,0,0,1,0
CLI000132,Jovem em Ascensão,23,Sudeste,Assalariado,4523.92,38,3106.9,1890.44,6074.19,9817.68,0.5448,12485.96,0,1,1,1,0,0,0
CLI000133,Tradicional Essencial,55,Sudeste,Servidor público,3745.65,130,8976.59,17074.8,5585.19,6437.71,0.2453,29993.15,0,1,1,0,0,1,0
CLI000134,Digital Multirrelacionado,29,Nordeste,Autônomo,5379.76,79,4307.96,7536.95,11419.11,19089.38,0.3407,38959.09,1,1,1,1,1,1,0
CLI000135,Tradicional Essencial,28,Sudeste,Empresário,5257.86,133,2707.0,13712.07,6691.92,7792.94,0.2308,9927.26,2,0,1,0,0,1,0
CLI000136,Alta Renda Investidor,39,Centro-Oeste,Empresário,19674.31,151,16547.41,25648.87,192751.11,42142.96,0.1395,10750.21,0,1,1,1,0,1,0
CLI000137,Jovem em Ascensão,27,Sul,Assalariado,5604.63,13,2278.28,9789.42,7972.55,6161.53,0.594,7618.88,0,1,1,0,1,0,0
CLI000138,Crédito Intensivo,33,Sul,Assalariado,5756.38,37,1121.13,6826.42,1958.43,7649.85,0.6089,4130.02,0,1,0,0,1,0,0
CLI000139,Tradicional Essencial,51,Centro-Oeste,Assalariado,3608.73,101,4208.02,351.71,10570.18,5695.75,0.2515,25519.85,0,0,1,0,0,0,0
CLI000140,Alta Renda Investidor,50,Sudeste,Assalariado,16870.61,101,35590.42,89447.36,172620.12,25932.21,0.076,38340.92,0,1,1,1,0,0,0
CLI000141,Crédito Intensivo,48,Sul,Estudante,6557.13,98,0.0,0.0,924.85,5304.25,0.7652,33758.13,1,1,0,0,1,0,0
CLI000142,Crédito Intensivo,51,Nordeste,Estudante,5582.68,1,4772.17,3892.33,10.83,6505.27,0.9231,17499.98,1,1,0,0,1,1,0
CLI000143,Jovem em Ascensão,27,Nordeste,Autônomo,5531.2,10,1723.89,8776.08,14433.91,2486.63,0.254,168.43,0,1,1,0,1,0,0
CLI000144,Tradicional Essencial,55,Nordeste,Assalariado,2958.66,204,4499.66,17267.76,9013.47,6609.76,0.194,19443.59,0,1,1,0,0,0,0
CLI000145,Crédito Intensivo,67,Sudeste,Assalariado,5596.16,55,1377.03,0.0,5753.03,8551.77,0.9164,48084.12,1,1,1,0,1,1,0
CLI000146,Digital Multirrelacionado,29,Centro-Oeste,Assalariado,6372.37,56,8432.53,7007.77,15152.82,13219.85,0.6756,0.0,0,0,1,1,0,1,0
CLI000147,Digital Multirrelacionado,33,Centro-Oeste,Autônomo,7126.49,75,8096.96,4474.95,0.0,4897.51,0.3898,21768.64,0,1,1,1,0,1,0
CLI000148,Crédito Intensivo,51,Centro-Oeste,Assalariado,5343.55,36,3693.42,1382.06,5911.5,2853.03,0.8248,73446.64,1,1,1,0,1,0,1
CLI000149,Crédito Intensivo,36,Sudeste,Assalariado,4005.97,35,0.0,20.19,2963.18,11492.06,0.8969,34824.7,0,1,0,0,0,1,0
CLI000150,Alta Renda Investidor,55,Sudeste,Assalariado,17956.03,211,7478.43,58774.83,330977.84,25506.59,0.2026,40248.86,0,1,1,1,0,1,1
CLI000151,Jovem em Ascensão,25,Nordeste,Assalariado,6514.17,12,661.57,4232.3,5334.21,2378.77,0.5392,16799.7,1,1,0,1,0,0,0
CLI000152,Jovem em Ascensão,23,Nordeste,Assalariado,5049.78,37,5257.04,7842.83,4394.91,6167.8,0.1824,17217.88,0,1,1,0,0,0,0
CLI000153,Digital Multirrelacionado,38,Sul,Estudante,10161.69,20,12410.28,18729.18,18255.45,8637.25,0.5276,24622.84,0,1,0,1,1,0,0
CLI000154,Crédito Intensivo,38,Norte,Empresário,10101.88,42,2160.15,3117.63,5056.12,11647.83,0.7412,43409.62,0,1,1,0,1,0,0
CLI000155,Alta Renda Investidor,26,Centro-Oeste,Assalariado,25572.38,66,26603.99,0.0,158443.45,32206.37,0.161,22447.32,0,1,1,1,0,1,0
CLI000156,Tradicional Essencial,69,Sul,Autônomo,3008.42,129,9361.54,9549.4,6238.03,4413.01,0.3735,0.0,0,1,1,0,0,1,0
CLI000157,Digital Multirrelacionado,26,Nordeste,Assalariado,7208.56,83,13191.76,5901.85,3734.38,9419.38,0.5192,35069.88,0,1,1,1,1,1,0
CLI000158,Tradicional Essencial,36,Centro-Oeste,Autônomo,3022.82,181,5084.0,2539.44,4678.78,7341.32,0.4433,12577.18,0,1,1,0,0,0,0
CLI000159,Tradicional Essencial,49,Centro-Oeste,Assalariado,3334.31,285,8830.98,2163.26,3674.56,2377.93,0.0732,0.0,0,1,1,0,0,1,0
CLI000160,Tradicional Essencial,56,Sul,Aposentado,4228.51,42,3623.35,133.84,10471.7,4326.59,0.3722,19978.59,0,0,1,0,0,0,0
CLI000161,Alta Renda Investidor,47,Sudeste,Assalariado,24044.07,158,24195.7,79387.53,216424.68,33475.61,0.3332,21288.37,0,1,1,1,0,0,0
CLI000162,Jovem em Ascensão,28,Nordeste,Assalariado,4290.96,25,4049.45,0.0,5396.52,6960.53,0.758,0.0,0,1,1,0,0,0,0
CLI000163,Digital Multirrelacionado,28,Sudeste,Assalariado,6220.85,51,3320.37,12240.37,25318.01,11495.09,0.3598,51537.98,0,1,1,0,1,1,0
CLI000164,Alta Renda Investidor,37,Sudeste,Assalariado,15970.54,178,10352.69,75496.99,158317.65,27698.29,0.1312,8272.22,0,1,1,1,0,1,0
CLI000165,Crédito Intensivo,18,Nordeste,Assalariado,4726.67,43,748.38,0.0,0.0,11605.21,0.8323,70220.76,0,1,1,0,1,0,1
CLI000166,Digital Multirrelacionado,51,Sudeste,Assalariado,8430.09,67,6728.33,5533.87,42407.84,23226.38,0.2246,28527.1,0,1,1,1,0,1,1
CLI000167,Jovem em Ascensão,29,Centro-Oeste,Autônomo,1794.77,7,1704.54,13269.3,8929.01,4504.42,0.4173,4619.13,0,1,1,1,1,0,0
CLI000168,Jovem em Ascensão,20,Centro-Oeste,Assalariado,3583.57,24,1129.15,4822.15,9884.28,4799.09,0.46,12169.87,1,1,1,1,1,0,0
CLI000169,Digital Multirrelacionado,35,Sul,Autônomo,8220.22,96,2826.61,18721.78,34199.72,15236.26,0.334,1219.28,0,1,1,1,0,0,0
CLI000170,Jovem em Ascensão,29,Sul,Assalariado,5110.92,1,1985.04,3355.89,7704.62,11756.49,0.1489,24693.48,0,0,1,1,0,0,0
