customer_id,month,transaction_count,total_inflow,total_outflow,pix_count,card_spend,cash_withdrawals,app_logins,branch_visits,digital_transaction_share
CLI000005,2025-04-01,94,27063.46,17746.7,43,830.56,3,22,1,0.7486
CLI000005,2025-05-01,102,30241.4,15677.82,44,841.82,3,33,1,0.8182
CLI000005,2025-06-01,80,27738.93,17421.6,41,1002.92,2,24,0,0.857
CLI000005,2025-07-01,92,22581.32,16155.63,41,918.86,4,19,0,0.7837
CLI000005,2025-08-01,101,25996.11,18174.45,48,1291.3,3,11,0,0.8345
CLI000005,2025-09-01,74,26367.42,16027.7,28,804.24,2,25,0,0.8351
CLI000005,2025-10-01,82,28659.08,17165.21,39,908.03,1,25,1,0.8971
CLI000005,2025-11-01,93,23588.6,21662.18,48,1306.06,3,15,2,0.8444
CLI000005,2025-12-01,110,28114.3,15613.19,58,837.95,2,7,1,0.9007
CLI000006,2025-01-01,76,4209.16,2868.35,39,578.09,0,24,0,0.9626
CLI000006,2025-02-01,66,4695.5,2792.92,28,468.66,1,35,1,0.9159
CLI000006,2025-03-01,73,4389.05,2804.6,39,597.22,1,24,0,0.929
CLI000006,2025-04-01,71,4154.13,2611.64,35,494.41,1,15,0,0.8946
CLI000006,2025-05-01,88,4622.47,2830.06,39,565.68,0,43,0,1.0
CLI000006,2025-06-01,89,4184.9,3356.04,41,609.92,0,52,1,0.9761
CLI000006,2025-07-01,74,3076.78,3313.82,32,725.03,1,54,0,0.9114
CLI000006,2025-08-01,70,3954.97,3245.61,28,756.01,1,56,0,0.8963
CLI000006,2025-09-01,75,3162.26,3168.31,34,466.78,1,42,0,0.9018
CLI000006,2025-10-01,74,3863.75,3489.23,39,545.41,1,53,1,0.9566
CLI000006,2025-11-01,75,4885.91,2764.27,45,411.49,0,75,0,1.0
CLI000006,2025-12-01,89,2968.22,3431.82,55,602.59,0,49,1,0.9916
CLI000007,2025-01-01,18,7466.5,5466.68,4,1319.75,2,0,6,0.3866
CLI000007,2025-02-01,13,7010.93,6650.57,3,1299.65,1,0,3,0.5023
CLI000007,2025-03-01,19,9200.2,5886.45,2,1017.26,2,10,2,0.2281
CLI000007,2025-04-01,14,8345.63,5557.1,1,1265.27,1,9,5,0.1084
CLI000007,2025-05-01,12,8160.04,3926.08,2,982.51,1,12,3,0.2957
CLI000007,2025-06-01,10,9156.21,3787.07,2,617.74,1,6,4,0.2725
CLI000007,2025-07-01,15,7046.32,4487.27,3,1011.54,2,0,3,0.2951
CLI000007,2025-08-01,7,5585.08,6353.62,1,1365.4,1,8,1,0.3402
CLI000007,2025-09-01,15,7368.1,6282.21,2,1367.51,1,0,2,0.2785
CLI000007,2025-10-01,14,7098.93,6289.51,2,1164.01,2,0,5,0.2702
CLI000007,2025-11-01,9,6735.23,7457.4,2,1539.94,1,4,3,0.4437
CLI000007,2025-12-01,21,7065.91,8211.73,1,1749.95,2,7,2,0.0602
CLI000008,2025-01-01,33,4728.16,3374.99,8,472.54,2,8,3,0.4332
CLI000008,2025-02-01,23,4886.64,3131.8,6,681.13,1,11,7,0.633
CLI000008,2025-03-01,28,3896.25,3294.45,2,698.8,5,3,6,0.097
CLI000008,2025-04-01,23,3231.31,2971.06,6,556.65,1,4,4,0.5046
CLI000008,2025-05-01,27,3937.16,3469.15,9,568.53,1,3,2,0.5575
CLI000008,2025-06-01,24,3775.54,2849.59,6,442.52,2,4,5,0.4319
CLI000008,2025-07-01,25,3553.74,3533.19,1,797.73,2,5,4,0.0832
CLI000008,2025-08-01,26,4262.51,2937.08,4,541.66,2,5,5,0.3556
CLI000008,2025-09-01,26,4700.83,2415.03,6,397.95,1,5,2,0.5487
CLI000008,2025-10-01,23,4485.06,2105.08,6,452.14,2,4,4,0.4573
CLI000008,2025-11-01,23,4024.1,3387.27,4,587.63,2,13,3,0.3472
CLI000008,2025-12-01,22,3729.23,3471.0,1,600.75,3,14,4,0.1374
CLI000009,2025-01-01,65,22655.52,11670.59,24,1722.94,2,5,0,0.8486
CLI000009,2025-02-01,74,16763.7,13176.22,25,1956.22,2,11,2,0.8347
CLI000009,2025-03-01,62,18839.58,10491.14,21,1337.17,2,6,1,0.7911
CLI000009,2025-04-01,65,20289.56,13944.01,21,1714.67,2,36,1,0.8147
CLI000009,2025-05-01,70,19881.74,12802.73,38,1557.38,1,11,1,0.8783
CLI000009,2025-06-01,67,22286.73,14114.95,29,2030.29,3,42,1,0.7333
CLI000009,2025-07-01,58,20111.72,13752.85,20,1710.42,3,29,1,0.6941
CLI000009,2025-08-01,59,21623.68,13804.32,31,1381.47,1,26,1,0.8023
CLI000009,2025-09-01,68,21817.92,11936.57,31,1202.94,2,19,0,0.7965
CLI000009,2025-10-01,61,22310.09,16095.62,26,2270.85,1,39,0,0.8336
CLI000009,2025-11-01,71,20778.96,13715.06,38,1957.13,2,30,2,0.8164
CLI000009,2025-12-01,69,25315.82,14997.91,25,2147.75,2,22,1,0.8384
CLI000010,2025-01-01,24,7785.05,8175.06,8,2815.65,1,26,1,0.8096
CLI000010,2025-02-01,21,7936.3,7214.4,10,2757.76,1,37,1,0.7685
CLI000010,2025-03-01,22,6382.49,6761.99,8,3684.24,1,38,1,0.7072
CLI000010,2025-04-01,24,7059.55,7429.59,10,3178.77,1,41,1,0.7606
CLI000010,2025-05-01,25,8166.45,7669.16,8,3861.19,1,17,1,0.7244
CLI000010,2025-06-01,24,6958.74,8055.97,9,4336.09,1,25,2,0.6683
CLI000010,2025-07-01,24,8942.42,7831.21,10,2854.49,0,18,1,0.8588
CLI000010,2025-08-01,25,5097.03,5282.27,8,2017.61,2,29,1,0.6491
CLI000010,2025-09-01,23,8337.69,8973.86,10,4344.11,1,30,0,0.7735
CLI000010,2025-10-01,25,7792.02,7926.21,10,3977.85,0,40,0,0.8076
CLI000010,2025-11-01,23,9214.09,6772.21,9,3477.52,1,33,1,0.8329
CLI000010,2025-12-01,29,6704.14,6863.23,14,2792.28,0,35,1,0.8849
CLI000011,2025-01-01,66,6181.9,2999.35,41,725.52,0,44,0,0.967
CLI000011,2025-02-01,88,5774.15,3451.58,44,823.1,1,37,0,0.9342
CLI000011,2025-03-01,84,4918.0,3821.3,38,651.69,1,65,0,0.9558
CLI000011,2025-04-01,81,5618.65,4355.55,50,872.45,0,44,0,0.9688
CLI000011,2025-05-01,88,4410.14,4168.91,46,1017.12,0,66,0,1.0
CLI000011,2025-06-01,73,5707.84,4481.71,45,1099.66,0,39,0,0.9704
CLI000011,2025-07-01,76,4949.73,4292.31,31,946.38,1,49,0,0.9147
CLI000011,2025-08-01,74,5160.81,4298.9,38,765.61,0,67,0,0.9698
CLI000011,2025-09-01,89,4589.06,4403.42,46,997.56,1,56,0,0.9445
CLI000011,2025-10-01,71,4167.62,4131.89,28,1002.05,0,62,0,0.9657
CLI000011,2025-11-01,81,4849.11,4079.78,43,1074.37,0,66,0,0.951
CLI000011,2025-12-01,97,5638.61,4609.55,42,1161.96,1,70,0,0.9695
CLI000012,2025-01-01,46,6128.28,5098.3,18,1384.4,0,39,0,0.9261
CLI000012,2025-02-01,55,5687.34,4538.83,29,1168.75,0,59,0,0.9355
CLI000012,2025-03-01,48,6975.35,4733.22,27,1428.7,0,37,0,0.9846
CLI000012,2025-04-01,47,5245.88,4822.86,27,1286.5,0,56,0,0.9817
CLI000012,2025-05-01,59,5963.63,5287.81,26,1521.78,0,60,0,1.0
CLI000012,2025-06-01,58,6484.62,3987.92,26,802.45,0,62,0,0.9523
CLI000012,2025-07-01,57,6469.38,5173.8,28,1569.62,0,38,0,1.0
CLI000012,2025-08-01,49,6377.71,3188.3,22,849.49,1,33,0,0.9135
CLI000012,2025-09-01,57,6144.9,4550.04,22,1054.29,1,48,0,0.9097
CLI000012,2025-10-01,46,6458.36,3336.17,26,628.13,0,69,1,1.0
CLI000012,2025-11-01,51,6399.02,5468.77,21,1630.79,0,44,1,0.9576
CLI000012,2025-12-01,52,5492.27,5059.11,32,1421.56,0,54,1,0.9641
CLI000013,2025-01-01,22,4729.76,2625.4,4,249.44,3,0,2,0.3984
CLI000013,2025-02-01,20,5235.11,4663.3,4,354.67,2,2,3,0.4861
CLI000013,2025-03-01,16,4949.41,4472.95,3,313.09,1,0,7,0.3728
CLI000013,2025-04-01,20,5564.49,3676.48,5,301.49,1,2,0,0.4746
CLI000013,2025-05-01,21,5115.0,4092.11,7,304.62,1,5,1,0.5377
CLI000013,2025-06-01,25,4512.24,4224.12,7,345.82,2,0,3,0.4805
CLI000013,2025-07-01,18,4220.43,4391.98,5,341.9,1,5,2,0.5117
CLI000013,2025-08-01,14,5508.11,3457.46,4,345.24,1,8,2,0.5254
CLI000013,2025-09-01,17,4756.49,3332.26,1,322.48,3,8,6,0.0802
CLI000013,2025-10-01,13,4431.04,4585.78,6,474.5,1,5,2,0.7204
CLI000013,2025-11-01,21,4567.33,4163.2,3,433.03,2,14,5,0.3596
CLI000013,2025-12-01,19,5758.45,4541.01,2,396.61,2,6,2,0.1892
CLI000014,2025-01-01,54,6252.49,4168.51,34,1040.29,0,49,0,0.9672
CLI000014,2025-02-01,62,6635.6,4440.9,24,1335.67,0,50,0,0.9445
CLI000014,2025-03-01,71,7216.48,4680.95,29,1388.56,0,48,1,0.9814
CLI000014,2025-04-01,72,6991.55,5665.42,43,1848.35,0,54,0,0.9991
CLI000014,2025-05-01,63,6786.28,4442.1,37,1046.33,0,70,0,0.9706
CLI000014,2025-06-01,84,6616.21,4672.6,49,1221.77,1,25,0,0.935
CLI000014,2025-07-01,64,6437.82,3707.89,37,818.17,0,49,0,0.99
CLI000014,2025-08-01,69,7088.08,5001.19,37,1398.0,1,39,0,0.9076
CLI000014,2025-09-01,60,5206.84,4753.86,37,1432.91,0,44,0,0.9585
CLI000014,2025-10-01,67,6681.15,4753.69,35,1324.95,0,62,0,0.9449
CLI000014,2025-11-01,56,6786.48,4645.81,28,1460.67,0,58,1,1.0
CLI000014,2025-12-01,87,5484.45,5093.45,40,1361.68,1,54,1,0.8983
CLI000015,2025-01-01,54,6908.22,4374.82,20,1935.62,2,26,2,0.7307
CLI000015,2025-02-01,51,4911.28,5344.62,19,3167.2,0,27,2,0.9452
CLI000015,2025-03-01,56,5154.26,5152.94,20,2129.78,3,26,1,0.5937
CLI000015,2025-04-01,53,5906.9,4812.79,17,2439.55,2,23,1,0.8017
CLI000015,2025-05-01,64,5378.1,5667.84,26,3469.52,1,39,0,0.9186
CLI000015,2025-06-01,56,5730.28,5123.26,27,3083.21,2,31,1,0.7832
CLI000015,2025-07-01,42,4869.95,3808.82,25,1838.33,0,23,1,0.9727
CLI000015,2025-08-01,50,5455.54,5031.05,20,2734.94,1,23,0,0.8718
CLI000015,2025-09-01,46,5084.22,3721.49,14,1877.65,2,20,2,0.6611
CLI000015,2025-10-01,65,4901.45,4569.79,33,1874.76,0,17,1,0.9198
CLI000015,2025-11-01,55,5046.86,4903.85,23,2347.93,2,38,1,0.8313
CLI000015,2025-12-01,62,4731.7,6185.98,24,3951.97,3,37,0,0.6727
CLI000016,2025-01-01,63,12415.15,6956.75,30,1143.13,1,58,0,0.9102
CLI000016,2025-02-01,59,9724.92,9280.78,28,2041.83,0,57,0,0.9486
CLI000016,2025-03-01,81,10467.54,8208.77,42,2018.79,1,78,0,0.9266
CLI000016,2025-04-01,74,10744.92,10173.71,34,1847.59,0,51,0,0.973
CLI000016,2025-05-01,70,9613.92,8146.91,35,1473.56,1,31,0,0.9323
CLI000016,2025-06-01,77,10934.22,8572.34,37,1508.1,0,48,0,0.9551
CLI000016,2025-07-01,82,11537.07,7880.39,35,1351.45,1,45,0,0.9125
CLI000016,2025-08-01,81,9253.45,7147.25,37,1450.63,0,62,0,0.9761
CLI000016,2025-09-01,83,10555.51,9137.06,34,2368.18,1,66,0,0.9489
CLI000016,2025-10-01,88,12072.17,9164.81,43,1893.36,1,30,0,0.9629
CLI000016,2025-11-01,95,11852.34,7870.24,53,1297.56,0,61,0,0.9812
CLI000016,2025-12-01,74,10403.25,10875.37,40,2669.52,1,62,0,0.9297
CLI000017,2025-01-01,57,3651.08,3262.71,22,1632.37,1,22,1,0.8438
CLI000017,2025-02-01,61,2895.34,3309.8,27,1498.12,1,41,1,0.717
CLI000017,2025-03-01,56,3435.05,2446.78,19,1144.62,1,19,0,0.7413
CLI000017,2025-04-01,56,2962.13,2912.14,19,1323.51,2,32,2,0.7265
CLI000017,2025-05-01,65,3077.71,3156.63,32,1226.72,2,43,2,0.8614
CLI000017,2025-06-01,52,3321.91,2971.39,25,1439.58,2,33,2,0.8324
CLI000017,2025-07-01,65,2558.34,2957.56,30,984.8,1,19,1,0.8915
CLI000017,2025-08-01,50,3084.38,3337.46,29,1519.71,1,33,2,0.9007
CLI000017,2025-09-01,52,3192.75,2789.66,15,1312.16,1,30,3,0.6654
CLI000017,2025-10-01,48,2921.86,3284.63,21,1484.1,2,28,2,0.7104
CLI000017,2025-11-01,70,3208.75,2728.41,26,1354.81,1,34,3,0.8349
CLI000017,2025-12-01,55,3202.79,3366.89,19,1580.8,2,27,1,0.7692
CLI000018,2025-01-01,35,18570.32,19981.87,14,3606.82,1,24,1,0.7221
CLI000018,2025-02-01,44,21901.34,17804.05,21,2449.94,2,10,1,0.7664
CLI000018,2025-03-01,44,23489.01,12757.44,21,2381.41,0,5,2,1.0
CLI000018,2025-04-01,49,21710.04,14808.68,23,2140.97,1,16,2,0.7999
CLI000018,2025-05-01,51,23637.18,15310.56,23,2006.74,1,28,2,0.8188
CLI000018,2025-06-01,38,19246.42,18626.43,16,3185.56,1,16,2,0.7917
CLI000018,2025-07-01,46,20333.61,17069.77,15,3333.42,2,28,1,0.7589
CLI000018,2025-08-01,44,24486.56,14184.31,15,2031.67,2,27,1,0.7015
CLI000018,2025-09-01,42,22515.63,17087.06,20,2543.44,1,25,2,0.839
CLI000018,2025-10-01,33,22747.87,14632.91,9,2269.14,2,11,1,0.6943
CLI000018,2025-11-01,49,25012.1,14423.09,21,2705.42,1,40,1,0.8297
CLI000018,2025-12-01,60,22459.59,17653.26,26,3358.74,1,27,1,0.8925
CLI000019,2025-01-01,70,5988.04,4185.82,27,1093.29,1,68,0,0.9238
CLI000019,2025-02-01,64,6148.61,4040.58,34,1106.8,1,40,0,0.9558
CLI000019,2025-03-01,66,3895.94,4890.47,34,1252.67,1,51,0,0.8958
CLI000019,2025-04-01,77,6820.41,4913.65,36,1257.71,1,43,0,0.9036
CLI000019,2025-05-01,63,7032.04,5321.03,29,1866.28,0,51,0,0.9538
CLI000019,2025-06-01,65,7266.81,4338.37,32,1306.12,0,38,0,0.9642
CLI000019,2025-07-01,69,7012.83,4125.65,36,1076.5,0,41,0,0.9477
CLI000019,2025-08-01,67,5735.25,4503.39,34,1630.48,1,50,0,0.8298
CLI000019,2025-09-01,61,7435.36,5054.45,25,1553.99,0,45,0,0.9353
CLI000019,2025-10-01,66,6979.69,4901.15,33,1727.53,1,42,0,0.8988
CLI000019,2025-11-01,75,7790.66,5174.25,31,1409.85,1,50,0,0.9408
CLI000019,2025-12-01,90,6539.66,5721.71,51,1285.45,1,51,0,0.9141
CLI000020,2025-01-01,20,3933.83,3341.74,5,347.88,1,9,2,0.5162
CLI000020,2025-02-01,21,4545.68,1379.42,4,173.25,3,0,3,0.313
CLI000020,2025-03-01,21,3771.92,1653.25,4,188.67,2,3,4,0.3723
CLI000020,2025-04-01,19,3826.32,2943.98,6,282.31,1,6,4,0.6816
CLI000020,2025-05-01,22,4405.58,2164.99,5,235.56,2,0,3,0.4668
CLI000020,2025-06-01,21,4176.12,2418.33,2,297.24,2,0,4,0.1996
CLI000020,2025-07-01,15,4244.28,3318.42,3,381.11,1,0,1,0.2789
CLI000020,2025-08-01,22,4489.4,2668.98,4,343.88,2,4,3,0.3148
CLI000020,2025-09-01,26,3371.19,3704.95,2,525.96,4,9,6,0.217
CLI000020,2025-10-01,20,3852.87,2552.59,4,368.27,2,7,4,0.3554
CLI000020,2025-11-01,20,3891.6,3124.05,5,414.42,2,6,4,0.4484
CLI000020,2025-12-01,21,3684.54,3204.61,4,301.03,2,6,2,0.4392
CLI000021,2025-01-01,16,2782.8,2502.57,4,579.62,1,7,5,0.5248
CLI000021,2025-02-01,24,2376.92,2251.15,6,371.18,3,8,3,0.3546
CLI000021,2025-03-01,23,3164.05,2095.16,3,479.48,2,0,4,0.2821
CLI000021,2025-04-01,22,3438.12,1974.83,3,367.74,2,10,6,0.1855
CLI000021,2025-05-01,23,3498.48,2378.42,5,363.8,1,7,1,0.5269
CLI000021,2025-06-01,22,2891.0,1908.37,3,467.33,2,10,1,0.3799
CLI000021,2025-07-01,15,2914.27,1887.55,2,353.1,1,10,5,0.2715
CLI000021,2025-08-01,20,3073.48,1930.33,1,429.5,2,7,3,0.1519
CLI000021,2025-09-01,24,3407.06,1796.07,3,340.7,3,11,5,0.2879
CLI000021,2025-10-01,25,2444.78,1765.35,4,369.99,2,0,5,0.2654
CLI000021,2025-11-01,24,2787.38,1667.12,6,364.78,2,5,5,0.6056
CLI000021,2025-12-01,18,2845.32,1930.16,4,314.99,1,0,4,0.4391
CLI000022,2025-01-01,109,10590.55,8333.06,44,942.44,0,58,0,0.9776
CLI000022,2025-02-01,104,11858.41,6304.15,44,989.37,0,23,0,0.9705
CLI000022,2025-03-01,108,12448.97,8254.61,48,1332.07,0,75,0,0.9775
CLI000022,2025-04-01,122,13174.79,9710.16,52,1431.52,1,85,0,0.9185
CLI000022,2025-05-01,95,9528.26,8224.15,46,1104.6,1,37,0,0.9396
CLI000022,2025-06-01,102,13598.54,5680.97,42,644.35,1,66,0,0.966
CLI000022,2025-07-01,100,11872.72,8309.42,38,931.89,1,44,0,0.9323
CLI000022,2025-08-01,110,10592.16,8899.39,55,1123.05,1,32,0,0.9616
CLI000022,2025-09-01,102,9387.48,7435.45,50,1006.85,1,33,0,0.9463
CLI000022,2025-10-01,105,13682.28,9758.01,56,1546.6,1,59,0,0.9165
CLI000022,2025-11-01,102,11365.56,7657.45,54,1129.94,0,47,0,0.9735
CLI000022,2025-12-01,112,8485.58,8952.33,49,1100.08,1,56,0,0.9484
CLI000023,2025-01-01,53,5566.21,4238.95,34,650.8,0,52,0,1.0
CLI000023,2025-02-01,57,7095.85,3825.8,28,422.19,0,43,1,0.963
CLI000023,2025-03-01,60,5596.72,4354.96,33,454.24,1,49,0,0.8753
CLI000023,2025-04-01,48,6696.07,3630.66,28,557.26,0,64,1,0.9928
CLI000023,2025-05-01,65,5124.34,3811.49,32,388.23,1,24,0,0.9239
CLI000023,2025-06-01,68,6201.27,4391.36,42,452.92,0,30,1,0.9903
CLI000023,2025-07-01,63,5726.62,3777.49,27,373.98,1,46,0,0.8527
CLI000023,2025-08-01,65,5601.44,3801.0,30,444.03,1,69,0,0.8937
CLI000023,2025-09-01,62,5595.62,3484.43,30,528.78,1,45,1,0.9079
CLI000023,2025-10-01,65,4834.64,5745.95,29,893.63,0,43,0,0.9795
CLI000023,2025-11-01,60,4746.02,4034.5,22,399.06,0,32,0,0.9315
CLI000023,2025-12-01,61,6079.98,2416.79,27,236.62,0,46,0,1.0
CLI000024,2025-01-01,55,5312.5,3426.97,28,784.84,0,36,0,0.9632
CLI000024,2025-02-01,67,5331.87,3354.03,34,912.86,0,51,0,0.9296
CLI000024,2025-03-01,73,5159.61,2950.24,32,556.29,1,51,0,0.9537
CLI000024,2025-04-01,59,4779.12,3712.59,37,834.76,0,46,1,0.9735
CLI000024,2025-05-01,66,5428.6,3423.73,27,791.72,1,57,1,0.9419
CLI000024,2025-06-01,64,5821.09,4555.32,29,1051.07,1,56,0,0.9334
CLI000024,2025-07-01,66,5478.42,2674.14,27,698.33,1,45,0,0.9311
CLI000024,2025-08-01,71,5583.6,4018.48,39,1161.19,1,50,0,0.9356
CLI000024,2025-09-01,58,5086.51,2951.84,27,826.29,0,31,1,0.9627
CLI000024,2025-10-01,73,4882.34,3156.2,31,803.66,1,36,1,0.8609
CLI000024,2025-11-01,60,4787.16,3583.18,27,720.68,1,35,0,0.9326
CLI000024,2025-12-01,77,5868.96,3684.38,39,836.25,0,26,0,0.9746
CLI000025,2025-01-01,9,3282.06,2164.95,2,287.46,1,0,5,0.4149
CLI000025,2025-02-01,7,3121.78,2231.52,1,313.87,1,5,4,0.4886
CLI000025,2025-03-01,2,3945.28,2465.42,0,309.87,0,13,1,0.3991
CLI000025,2025-04-01,1,3283.97,2332.09,0,293.43,0,7,2,0.5626
CLI000025,2025-05-01,6,3274.87,3008.06,2,277.89,0,17,3,0.5403
CLI000025,2025-06-01,1,3913.45,2976.39,0,427.2,0,3,5,0.1345
CLI000025,2025-07-01,3,3655.74,2706.95,0,303.46,0,11,3,0.1366
CLI000025,2025-08-01,3,3240.73,3428.98,0,454.96,0,5,3,0.2987
CLI000025,2025-09-01,3,3682.61,2783.93,1,274.96,0,7,2,0.33
CLI000025,2025-10-01,6,4145.74,2733.04,1,261.49,1,9,2,0.4401
CLI000025,2025-11-01,1,3687.85,3131.25,0,375.73,0,0,5,0.4233
CLI000025,2025-12-01,8,4342.39,2656.48,3,248.36,0,5,4,0.5779
CLI000026,2025-01-01,92,10850.84,7194.44,38,1065.15,1,55,1,0.944
CLI000026,2025-02-01,121,7438.92,5901.19,47,903.19,1,52,0,0.923
CLI000026,2025-03-01,111,6881.67,6348.48,67,712.66,0,52,0,0.9844
CLI000026,2025-04-01,108,10131.4,7212.24,65,909.22,0,38,0,0.9762
CLI000026,2025-05-01,99,9839.83,8132.16,53,1316.64,1,56,1,0.9326
CLI000026,2025-06-01,110,10601.97,6916.24,43,807.16,0,65,1,0.9518
CLI000026,2025-07-01,109,6571.96,6267.2,63,910.73,0,44,0,0.9697
CLI000026,2025-08-01,96,10598.85,8650.27,61,1255.35,0,69,0,0.9902
CLI000026,2025-09-01,90,8373.94,7179.81,43,1103.06,1,70,0,0.9455
CLI000026,2025-10-01,94,9218.68,6875.28,53,1188.11,1,52,0,0.954
CLI000026,2025-11-01,101,10678.31,8200.17,45,1391.53,0,49,0,0.9606
CLI000026,2025-12-01,106,10573.49,7748.61,48,1219.09,0,70,0,0.9608
CLI000027,2025-01-01,36,3095.31,4083.14,16,1531.18,0,38,0,1.0
CLI000027,2025-02-01,33,3839.21,3931.39,15,1901.72,1,46,0,0.7553
CLI000027,2025-03-01,36,3355.75,3622.25,19,2006.73,1,20,0,0.8425
CLI000027,2025-04-01,39,3795.88,3931.21,12,1697.15,1,35,1,0.7596
CLI000027,2025-05-01,33,3497.38,3630.78,11,1712.23,1,41,1,0.8097
CLI000027,2025-06-01,40,3872.59,3432.21,16,1802.06,1,50,1,0.9069
CLI000027,2025-07-01,39,3228.31,3290.73,14,1581.53,1,12,0,0.6149
CLI000027,2025-08-01,36,3368.98,3416.41,16,1340.83,2,40,2,0.7417
CLI000027,2025-09-01,35,4064.99,3280.92,13,1526.43,2,26,1,0.6637
CLI000027,2025-10-01,35,4045.04,3426.07,13,1343.69,1,29,1,0.7583
CLI000027,2025-11-01,43,3836.14,3708.74,21,1645.64,2,23,1,0.8064
CLI000027,2025-12-01,38,3587.19,3379.28,15,1169.79,1,31,2,0.8026
CLI000028,2025-01-01,81,15826.98,8947.16,28,974.37,4,15,0,0.7557
CLI000028,2025-02-01,96,16056.16,8635.51,37,1173.62,1,34,0,0.9009
CLI000028,2025-03-01,72,18847.47,9775.23,33,1471.89,2,34,0,0.7626
